DONG,HOUR,DAY,AMT,CNT
고등동,1,1,24740.27049180328,4.69672131147541
고등동,1,2,16355.823529411764,4.3277310924369745
고등동,1,3,23064.504201680673,4.5966386554621845
고등동,1,4,16899.895652173913,4.6173913043478265
고등동,1,5,20672.59836065574,4.795081967213115
고등동,1,6,32244.580152671755,6.122137404580153
고등동,1,7,35751.32142857143,6.121428571428571
고등동,2,1,38061.31914893617,8.581560283687944
고등동,2,2,35079.381944444445,8.8125
고등동,2,3,43187.333333333336,8.694444444444445
고등동,2,4,40538.944444444445,8.506944444444445
고등동,2,5,50222.34507042253,9.619718309859154
고등동,2,6,40696.880281690144,7.950704225352113
고등동,2,7,34309.105633802814,6.408450704225352
고등동,3,1,196125.9054054054,34.317567567567565
고등동,3,2,197579.43243243243,36.58783783783784
고등동,3,3,207629.57432432432,37.20945945945946
고등동,3,4,215898.7837837838,37.74324324324324
고등동,3,5,230654.86486486485,42.03378378378378
고등동,3,6,337481.67346938775,57.2108843537415
고등동,3,7,265123.0135135135,45.554054054054056
고등동,4,1,328871.6756756757,48.75
고등동,4,2,331893.9121621622,48.29054054054054
고등동,4,3,384216.4391891892,52.189189189189186
고등동,4,4,343484.38513513515,50.891891891891895
고등동,4,5,382776.74324324325,53.0472972972973
고등동,4,6,520378.55102040817,73.14965986394557
고등동,4,7,494047.08108108107,66.83783783783784
고등동,5,1,427843.0337837838,53.37837837837838
고등동,5,2,427784.20945945947,55.689189189189186
고등동,5,3,462448.4662162162,58.88513513513514
고등동,5,4,446625.5878378378,57.013513513513516
고등동,5,5,497243.7297297297,63.20945945945946
고등동,5,6,848947.4557823129,95.61904761904762
고등동,5,7,834500.3513513514,89.3445945945946
고등동,6,1,423643.7837837838,52.75675675675676
고등동,6,2,380606.20945945947,49.42567567567568
고등동,6,3,398231.4662162162,51.29054054054054
고등동,6,4,406471.29054054053,51.013513513513516
고등동,6,5,475398.9054054054,59.04054054054054
고등동,6,6,870447.6394557824,83.29251700680273
고등동,6,7,766821.8108108108,77.20270270270271
고등동,7,1,323832.16891891893,39.08108108108108
고등동,7,2,299158.8040540541,39.58783783783784
고등동,7,3,313192.54054054053,39.608108108108105
고등동,7,4,348762.29054054053,42.04054054054054
고등동,7,5,373828.3175675676,43.7027027027027
고등동,7,6,584223.3197278911,53.925170068027214
고등동,7,7,487586.20945945947,48.189189189189186
고등동,8,1,317446.64864864864,33.83783783783784
고등동,8,2,324257.5472972973,36.5
고등동,8,3,343826.5945945946,37.4054054054054
고등동,8,4,331605.13513513515,36.554054054054056
고등동,8,5,406571.88513513515,42.432432432432435
고등동,8,6,533322.925170068,49.19047619047619
고등동,8,7,443636.5337837838,43.682432432432435
고등동,9,1,117723.13513513513,13.682432432432432
고등동,9,2,113826.42857142857,13.204081632653061
고등동,9,3,139525.5918367347,14.727891156462585
고등동,9,4,144054.91216216216,14.567567567567568
