iter	Passed	Remaining
0	18	5672
1	37	5605
2	55	5536
3	73	5460
4	91	5372
5	108	5334
6	129	5410
7	146	5348
8	163	5293
9	169	4918
10	186	4900
11	204	4896
12	221	4882
13	237	4855
14	254	4829
15	271	4821
16	288	4803
17	305	4785
18	315	4669
19	332	4653
20	348	4630
21	364	4609
22	381	4596
23	398	4578
24	415	4568
25	431	4547
26	446	4516
27	463	4502
28	479	4483
29	489	4407
30	496	4308
31	512	4292
32	528	4274
33	544	4260
34	560	4244
35	576	4229
36	602	4284
37	618	4263
38	634	4245
39	650	4227
40	666	4208
41	682	4192
42	699	4178
43	715	4165
44	726	4116
45	743	4107
46	761	4097
47	777	4084
48	794	4071
49	811	4059
50	828	4045
51	844	4029
52	861	4012
53	876	3994
54	893	3978
55	908	3960
56	924	3942
57	940	3925
58	956	3908
59	972	3890
60	993	3893
61	1009	3875
62	1025	3858
63	1041	3840
64	1057	3824
65	1074	3808
66	1090	3792
67	1106	3775
68	1122	3758
69	1138	3741
70	1155	3725
71	1171	3709
72	1190	3703
73	1209	3693
74	1227	3682
75	1245	3671
76	1264	3663
77	1282	3650
78	1300	3639
79	1319	3627
80	1336	3614
81	1354	3601
82	1371	3586
83	1389	3571
84	1406	3557
85	1424	3543
86	1440	3527
87	1456	3509
88	1472	3490
89	1488	3473
90	1504	3454
91	1520	3437
92	1536	3420
93	1552	3402
94	1568	3385
95	1585	3368
96	1600	3350
97	1616	3332
98	1633	3315
99	1649	3298
100	1665	3281
101	1682	3265
102	1698	3248
103	1714	3232
104	1732	3217
105	1749	3202
106	1767	3188
107	1785	3174
108	1805	3164
109	1824	3150
110	1842	3136
111	1860	3123
112	1881	3113
113	1902	3104
114	1922	3093
115	1941	3079
116	1960	3067
117	1978	3050
118	1994	3033
119	2011	3016
120	2027	2999
121	2043	2981
122	2059	2964
123	2076	2947
124	2092	2929
125	2123	2932
126	2140	2915
127	2156	2897
128	2171	2879
129	2188	2861
130	2204	2843
131	2219	2825
132	2236	2807
133	2252	2790
134	2269	2773
135	2286	2756
136	2302	2740
137	2319	2722
138	2341	2711
139	2358	2694
140	2374	2677
141	2390	2659
142	2406	2642
143	2423	2624
144	2439	2607
145	2455	2589
146	2471	2572
147	2487	2555
148	2503	2537
149	2520	2520
150	2536	2502
151	2552	2484
152	2568	2467
153	2589	2455
154	2605	2437
155	2620	2419
156	2636	2401
157	2653	2384
158	2669	2367
159	2686	2350
160	2703	2334
161	2720	2317
162	2737	2300
163	2754	2284
164	2770	2266
165	2787	2250
166	2803	2232
167	2819	2215
168	2835	2197
169	2851	2180
170	2866	2162
171	2882	2145
172	2898	2128
173	2915	2111
174	2933	2095
175	2950	2078
176	2967	2062
177	2985	2045
178	3002	2029
179	3019	2013
180	3036	1996
181	3053	1979
182	3069	1962
183	3086	1945
184	3102	1928
185	3118	1911
186	3134	1894
187	3150	1877
188	3166	1859
189	3182	1842
190	3199	1825
191	3215	1808
192	3231	1791
193	3247	1774
194	3263	1757
195	3279	1740
196	3295	1723
197	3311	1705
198	3327	1688
199	3343	1671
200	3359	1654
201	3374	1637
202	3390	1619
203	3405	1602
204	3422	1585
205	3438	1569
206	3454	1551
207	3469	1534
208	3484	1517
209	3500	1500
210	3516	1483
211	3532	1466
212	3548	1449
213	3563	1432
214	3579	1415
215	3595	1398
216	3610	1380
217	3626	1364
218	3641	1346
219	3658	1330
220	3674	1313
221	3691	1296
222	3707	1280
223	3724	1263
224	3740	1246
225	3757	1230
226	3774	1213
227	3790	1196
228	3805	1179
229	3822	1163
230	3837	1146
231	3853	1129
232	3868	1112
233	3884	1095
234	3900	1078
235	3916	1062
236	3931	1045
237	3947	1028
238	3962	1011
239	3978	994
240	3994	977
241	4010	961
242	4026	944
243	4041	927
244	4056	910
245	4073	894
246	4088	877
247	4104	860
248	4120	843
249	4136	827
250	4152	810
251	4167	793
252	4183	777
253	4199	760
254	4215	743
255	4230	727
256	4246	710
257	4262	693
258	4278	677
259	4294	660
260	4310	644
261	4326	627
262	4341	610
263	4357	594
264	4373	577
265	4389	561
266	4404	544
267	4420	527
268	4436	511
269	4452	494
270	4467	478
271	4483	461
272	4498	444
273	4514	428
274	4530	411
275	4546	395
276	4562	378
277	4577	362
278	4593	345
279	4609	329
280	4624	312
281	4640	296
282	4657	279
283	4673	263
284	4690	246
285	4706	230
286	4723	213
287	4739	197
288	4756	181
289	4773	164
290	4789	148
291	4805	131
292	4821	115
293	4837	98
294	4852	82
295	4868	65
296	4883	49
297	4898	32
298	4914	16
299	4918	0
