,pearson,spearman
UNIT,0.7338258256800466,0.8953231971199593
CNT,0.5145440176524438,0.5405970854422435
DONG_수원시 영통구 매탄3동,0.29205707953054294,0.2630283692514258
DONG_수원시 영통구 광교1동,0.2091279720962903,0.2962450042405813
HOUR_8,0.20412559103820374,0.17748088795960892
DONG_수원시 영통구 망포1동,-0.16215540228505942,-0.29359154610292887
DONG_수원시 팔달구 인계동,-0.1331308865576736,-0.11124654814402027
DONG_수원시 권선구 구운동,-0.12306950200137291,-0.21743580330804238
HOUR_9,0.12278801494938431,0.20122282696539784
HOUR_6,-0.11049730839120692,-0.18645176018866566
HOUR_4,-0.09174881082885088,-0.13654724075570923
DONG_수원시 권선구 세류3동,-0.08798207231146192,-0.06936286306025384
HOUR_7,-0.08490084892172473,-0.07675129243707501
HOUR_5,-0.08086870326980572,-0.11191671825816822
HOUR_3,-0.06745843141654428,-0.1467413047492432
DONG_수원시 영통구 광교2동,0.0586916271529417,0.13303305993836562
ymd_ordinal,-0.056289964717030946,-0.10909151598388692
DONG_수원시 영통구 영통3동,0.05423865141794738,0.07151407510881776
year,-0.05256873831544021,-0.10698529799185859
DONG_수원시 장안구 영화동,-0.050619341246148024,-0.049631306443392226
DONG_수원시 팔달구 매교동,-0.04669008544704,-0.09330365727443744
DONG_수원시 영통구 매탄2동,-0.04198205089684594,-0.06604561896493015
HOUR_2,-0.04129723249501779,-0.09237142942758055
DONG_수원시 권선구 곡선동,-0.04030446444090016,-0.07993083423346029
DONG_수원시 권선구 금곡동,0.034603538335803985,0.10294648439086626
DONG_수원시 장안구 정자1동,-0.03418949909077531,-0.06380516565981592
DAY_6,0.03396728567128898,0.06556533903663864
DONG_수원시 권선구 권선2동,-0.031963534679688904,-0.024144844145504992
TEMP,-0.03130880843350189,-0.021129939979932386
DONG_수원시 권선구 서둔동,-0.03096344409854716,-0.07313747079596222
DAY_1,-0.027858554370603843,-0.034854846956687745
DAY_2,-0.02750524527808744,-0.06871853442106934
is_weekend,0.025351649525205095,0.08618988086401805
DONG_수원시 장안구 파장동,-0.024744769189385448,-0.05984013438466333
DONG_수원시 권선구 권선1동,-0.02292525290982167,-0.03115399040732421
DONG_수원시 팔달구 고등동,-0.022895158302040055,-0.03753078209400136
DONG_수원시 장안구 정자3동,0.02226819215533999,0.1332987579573376
HOUR_1,0.017229900409424265,0.09002592732537769
HOUR_10,-0.015586061287123552,0.04529649140637779
DAY_3,0.015331663381625373,-0.01730358772267576
weekofyear,-0.01506231101398379,-0.016032392270543316
day_of_month,0.014777617640207855,0.00679867497285776
month,-0.013947891190291639,-0.014196457747403309
DONG_수원시 장안구 조원2동,-0.012358971362805952,-0.014569706904684393
R_GRADE_3.0,0.008880270854767131,0.01205264174502615
R_GRADE_0.0,-0.00815992058273879,-0.016098425596287613
DAY_4,0.006375004140585478,-0.018159206274582656
DONG_수원시 권선구 호매실동,0.006174973075500235,0.021593994382828607
DONG_수원시 장안구 송죽동,-0.00596359617191548,-0.01321804584673899
R_GRADE_1.0,0.005493257865578973,0.013010901411981244
DONG_수원시 영통구 원천동,-0.00521463983420814,-0.01402436076327668
DONG_수원시 권선구 세류2동,-0.004426285055048318,-4.4261385933302374e-05
DONG_수원시 장안구 조원1동,0.00431820304297781,0.046641631658051706
DONG_수원시 장안구 연무동,-0.0034495251196258524,-0.03204175151009938
DAY_7,-0.00327325472808871,0.04405698742509325
DAY_5,-0.00127357213879736,0.020419318568867733
RAIN,0.0008696421239275971,0.012767151252652171
R_GRADE_2.0,0.0005762817157568535,-0.00298449295958431
R_GRADE_-1.0,0.0005207977272112122,0.007940943700814045
