HOUR,N,AMT_MAE,AMT_RMSE,AMT_R2,AMT_MAPE(%),CNT_MAE,CNT_RMSE,CNT_R2,CNT_MAPE(%),TIME(s)
01,"42,419","701,745","1,835,400",0.9341,188.8,11.35,47.84,0.9460,39.9,14.1
02,"42,498","216,935","657,538",0.5958,140.0,6.21,10.40,0.9331,41.3,14.1
03,"44,644","567,499","1,980,246",0.3874,87.3,11.90,19.46,0.9265,28.5,15.5
04,"45,441","1,331,952","3,700,388",0.8849,38.8,32.51,56.82,0.9646,18.4,15.0
05,"45,489","1,655,355","4,080,971",0.9091,34.6,31.35,69.32,0.9497,16.9,15.5
06,"45,477","1,260,067","3,675,825",0.8991,61.5,23.88,64.38,0.9337,21.5,15.2
07,"45,503","1,443,745","3,868,723",0.9189,34.6,28.54,63.22,0.9544,18.9,15.6
08,"45,436","1,844,160","4,213,418",0.9158,39.5,25.90,60.10,0.9538,17.0,15.9
09,"44,985","1,077,064","2,497,940",0.9052,72.9,14.50,37.40,0.9517,25.1,15.4
10,"41,559","457,513","1,138,767",0.8192,193.4,6.37,16.30,0.9271,43.7,14.5
